phi,h0,Ma0,T_mix,T_at_tau,T_ad,T_check_ok,NOx_ppm,NO_ppm,NO2_ppm,tau_res_ms,t1_us,EI_NOx,EI_H2O,mdot_fuel_gs,MW_mix,Ma_COMB,Da,eta_exit,converged,error
0.4,32000,4.5,978.7436864996473,2020.4778548909821,1999.8995499455348,True,18.677703074463437,18.673962871056087,0.003740203407346997,10.060272159831232,289.2937789061549,4.599364538260865,14921.862790988771,567.3972281783506,26.92588520597727,0.06290709380237673,0.713143213233187,1.0,True,
0.4,32000,5.0,1144.3751226910865,2172.6273104884203,2138.904238183432,True,62.18015075594634,62.17780826641594,0.0023424895304088094,13.74039868551463,22.444290824315356,15.311775779342383,14928.063618360591,630.441364642536,26.925920872057887,0.05,1.0,1.0,True,
0.4,32000,5.5,1323.1523337952515,2338.2579843534845,2285.941402983401,True,211.0981441951375,211.09595447884314,0.0021897162943530554,17.88564144777669,4.985711353631061,51.9838265933714,14929.505691085578,693.4855011067356,26.925298420722477,0.05,1.0,1.0,True,
0.5,20000,2.75,471.1032067872537,471.1032067872537,1782.360317827361,False,4.825905549390047e-31,4.825905549390047e-31,9.790688979424941e-54,1.7297697198717894,0.172976971987179,1.0599657179504285e-31,1.7559961116366217e-21,2808.457031105263,24.192125,0.24012865098621647,1.0,1.0,True,
0.5,20000,3.0,523.1235557704929,523.1235557704929,1824.9087495271706,False,4.511993307793472e-25,4.511993307793472e-25,9.919648137829686e-45,2.4152235778930766,0.24152235778930747,9.910177845242265e-26,6.358995738394063e-18,3063.771306662318,24.192125,0.19571943005595469,1.0,1.0,True,
0.5,20000,3.5,637.8955436011028,637.8955436010923,1918.7643288239215,False,7.140652010427929e-17,7.140652010427899e-17,3.0038560368607663e-31,4.01411913695438,0.40141191369543816,1.5683784643941578e-17,4.1043719894370136e-12,3574.399857771482,24.192125000004467,0.1311368346982579,1.0,1.0,True,
0.5,20000,4.0,766.4421917052476,766.4422073285702,2024.175848193252,False,6.901493377565517e-08,6.901493360201969e-08,1.7363548679734436e-16,6.135102933999079,28193.761348037933,1.515849025996905e-08,0.0001757406284237838,4085.028408880703,24.192132130916956,0.08984611332646748,0.0,1.0,True,
0.5,20000,4.5,907.8534269249348,2168.3095271685324,2140.72090729171,True,27.219701742347144,27.219240756500465,0.0004609858466777966,8.862580087069338,4591.106331876758,5.4596869199714595,14925.278536107424,4595.656959992311,26.491261651975062,0.06366700612469126,0.228832711572165,1.0,True,
0.5,20000,5.0,1061.6505134014064,2306.328008912593,2267.538025629889,True,64.39400470810936,64.39362412524474,0.0003805828646317274,12.186648898329656,193.63544120287435,12.91617385805487,14925.87205521251,5106.285511101191,26.49101338463124,0.05,0.8263365610126778,1.0,True,
0.5,20000,5.5,1227.6403381452214,2456.9907865331033,2403.3067677832296,True,195.6855000098258,195.6846851379164,0.0008148719093862398,15.958290205436196,10.195042954320755,39.25154815811931,14923.908751790503,5616.914062210526,26.490421874319804,0.05,1.0,1.0,True,
0.5,25000,2.75,481.25958850997176,481.25958850997176,1789.7925903017372,False,5.762654150757718e-31,5.762654150757718e-31,2.02507217770297e-53,1.7503970661105162,0.17503970661105153,1.265713922846955e-31,9.020368038530165e-21,1273.4864163234931,24.192125,0.23990010423010688,1.0,1.0,True,
