range_m,range_km,altitude_m,altitude_km,mach,segment
9450678.779604957,9450.678779604956,3813.290021891102,3.8132900218911017,1.1728391181404267,descent
9453912.05960863,9453.91205960863,3563.3076760115764,3.5633076760115765,1.13026312709167,descent
9457035.736900317,9457.035736900316,3321.799307958474,3.321799307958474,1.0880704053147219,descent
9460049.811480014,9460.049811480014,3088.764917731791,3.088764917731791,1.0462423113744124,descent
9462954.283347722,9462.954283347723,2864.204505331538,2.864204505331538,1.004760876150841,descent
9465749.15250344,9465.74915250344,2648.1180707577078,2.648118070757708,0.9636087584681938,descent
9468434.418947171,9468.434418947172,2440.5056140103115,2.4405056140103114,0.9227692035844737,descent
9471010.082678912,9471.010082678913,2241.367135089331,2.241367135089331,0.8822260042963631,descent
9473476.143698664,9473.476143698665,2050.7026339947697,2.05070263399477,0.8419634644356657,descent
9475832.602006428,9475.832602006429,1868.5121107266386,1.8685121107266387,0.8019663645535983,descent
9478079.457602201,9478.079457602202,1694.7955652849341,1.694795565284934,0.7622199296069604,descent
9480216.710485987,9480.216710485987,1529.5529976696525,1.5295529976696525,0.7227097984760898,descent
9482244.360657785,9482.244360657785,1372.7844078807902,1.3727844078807903,0.6834219951587229,descent
9484162.40811759,9484.16240811759,1224.4897959183581,1.224489795918358,0.6443429014966364,descent
9485970.85286541,9485.970852865408,1084.6691617823526,1.0846691617823525,0.6054592313033633,descent
9487669.69490124,9487.669694901238,953.32250547277,0.95332250547277,0.5667580057715261,descent
9489258.934225077,9489.258934225078,830.4498269896212,0.8304498269896212,0.5282265300475059,descent
9490738.57083693,9490.73857083693,716.0511263328808,0.7160511263328808,0.4898523708694092,descent
9492108.604736792,9492.108604736792,610.1264035025742,0.6101264035025743,0.4516233351716462,descent
9493369.035924666,9493.369035924665,512.675658498687,0.512675658498687,0.41352744956605103,descent
9494519.864400549,9494.519864400549,423.6988913212299,0.4236988913212299,0.3755529406153449,descent
9495561.090164445,9495.561090164445,343.19610197018847,0.34319610197018846,0.33768821581999464,descent
9496492.713216351,9496.492713216352,271.16729044557724,0.27116729044557725,0.2999218452441944,descent
9497314.733556269,9497.314733556268,207.6124567473962,0.2076124567473962,0.26224254371079775,descent
9498027.151184196,9498.027151184197,152.53160087563447,0.15253160087563447,0.22463915349868044,descent
9498629.966100136,9498.629966100136,105.92472283029929,0.10592472283029929,0.18710062747917447,descent
9499123.178304087,9499.123178304088,67.79182261139067,0.06779182261139068,0.14961601263096094,descent
9499506.787796047,9499.506787796046,38.13290021890498,0.03813290021890498,0.1121744338751595,descent
9499780.79457602,9499.780794576021,16.94795565284585,0.016947955652845847,0.07476507817432017,descent
9499945.198644005,9499.945198644005,4.236988913209643,0.004236988913209643,0.037377178840640166,descent
9500000.0,9500.0,0.0,0.0,0.0,descent
