gamma_deg,h_cruise_m,x_m,rho,v
5,25000.0,23700.0,0.920322877256698,264.6044788562633
5,25000.0,23800.0,0.9192381282129809,265.1621285345698
5,25000.0,23900.0,0.9181548618160186,265.71860790537926
5,25000.0,24000.0,0.917073075760464,266.27392430608313
5,25000.0,24100.0,0.91599276774498,266.8280849977204
5,25000.0,24200.0,0.9149139354722442,267.3810971660856
5,25000.0,24300.0,0.9138365766489354,267.932967922816
5,25000.0,24400.0,0.9127606889857287,268.4837043064584
5,25000.0,24500.0,0.911686270197281,269.0333132835165
5,25000.0,24600.0,0.9106133180022378,269.58180174947967
5,25000.0,24700.0,0.9095418301232067,270.12917652983134
5,25000.0,24800.0,0.9084718042867652,270.67544438104056
5,25000.0,24900.0,0.9074032382234453,271.220611991535
5,25000.0,25000.0,0.9063361296677293,271.7646859826563
5,25000.0,25100.0,0.9052704763580358,272.30767290959835
5,25000.0,25200.0,0.9042062760367252,272.84957926232875
5,25000.0,25300.0,0.9031435264500756,273.3904114664939
5,25000.0,25400.0,0.9020822253482883,273.93017588430786
5,25000.0,25500.0,0.9010223704854743,274.4688788154257
5,25000.0,25600.0,0.8999639596196488,275.0065264978012
5,25000.0,25700.0,0.8989069905127187,275.5431251085297
5,25000.0,25800.0,0.8978514609304868,276.0786807646759
5,25000.0,25900.0,0.8967973686426289,276.61319952408786
5,25000.0,26000.0,0.8957447114226988,277.146687386196
5,25000.0,26100.0,0.894693487048115,277.679150292799
5,25000.0,26200.0,0.8936436933001555,278.2105941288359
5,25000.0,26300.0,0.8925953279639461,278.74102472314496
5,25000.0,26400.0,0.8915483888284598,279.27044784920923
5,25000.0,26500.0,0.8905028736865053,279.79886922589037
5,25000.0,26600.0,0.889458780334716,280.3262945181488
5,25000.0,26700.0,0.8884161065735541,280.8527293377525
5,25000.0,26800.0,0.8873748502072918,281.37817924397393
5,25000.0,26900.0,0.8863350090440049,281.90264974427424
5,25000.0,27000.0,0.8852965808955773,282.42614629497734
5,25000.0,27100.0,0.8842595635776775,282.9486743019322
5,25000.0,27200.0,0.8832239549097596,283.47023912116407
5,25000.0,27300.0,0.882189752715062,283.99084605951464
5,25000.0,27400.0,0.8811569548205852,284.51050037527256
5,25000.0,27500.0,0.8801255590570983,285.0292072787927
5,25000.0,27600.0,0.8790955632591245,285.54697193310585
5,25000.0,27700.0,0.8780669652649374,286.06379945451846
5,25000.0,27800.0,0.8770397629165474,286.5796949132021
5,25000.0,27900.0,0.8760139540597074,287.0946633337739
5,25000.0,28000.0,0.8749895365438896,287.6087096958679
5,25000.0,28100.0,0.8739665082222905,288.12183893469626
5,25000.0,28200.0,0.8729448669518192,288.63405594160236
5,25000.0,28300.0,0.8719246105930913,289.14536556460496
5,25000.0,28400.0,0.8709057370104166,289.65577260893326
5,25000.0,28500.0,0.8698882440718049,290.16528183755383
5,25000.0,28600.0,0.8688721296489424,290.67389797168937
5,25000.0,28700.0,0.8678573916171975,291.1816256913287
5,25000.0,28800.0,0.866844027855608,291.6884696357298
5,25000.0,28900.0,0.8658320362468762,292.19443440391376
5,25000.0,29000.0,0.8648214146773565,292.69952455515204
5,25000.0,29100.0,0.8638121610370608,293.2037446094457
5,25000.0,29200.0,0.8628042732196355,293.70709904799725
5,25000.0,29300.0,0.8617977491223671,294.20959231367544
5,25000.0,29400.0,0.8607925866461693,294.7112288114725
5,25000.0,29500.0,0.8597887836955794,295.21201290895516
5,25000.0,29600.0,0.8587863381787438,295.71194893670787
5,25000.0,29700.0,0.8577852480074256,296.2110411887699
5,25000.0,29800.0,0.8567855110969804,296.70929392306556
5,25000.0,29900.0,0.8557871253663627,297.2067113618283
5,25000.0,30000.0,0.8547900887381127,297.70329769201777
5,25000.0,30100.0,0.8537943991383522,298.1990570657311
5,25000.0,30200.0,0.8528000544967735,298.69399360060817
5,25000.0,30300.0,0.8518070527466386,299.18811138023045
5,25000.0,30400.0,0.8508153918247682,299.68141445451397
5,25000.0,30500.0,0.8498250696715364,300.17390684009695
5,25000.0,30600.0,0.8488360842308633,300.6655925207209
5,25000.0,30700.0,0.8478484334502099,301.1564754476071
5,25000.0,30800.0,0.8468621152805664,301.6465595398267
5,25000.0,30900.0,0.8458771276764525,302.13584868466575
5,25000.0,31000.0,0.8448934685959066,302.62434673798504
5,25000.0,31100.0,0.8439111360004801,303.11205752457494
5,25000.0,31200.0,0.8429301278552274,303.59898483850407
5,25000.0,31300.0,0.8419504421287053,304.0851324434643
5,25000.0,31400.0,0.8409720767929623,304.5705040731098
5,25000.0,31500.0,0.8399950298235327,305.05510343139196
5,25000.0,31600.0,0.8390192991994312,305.5389341928885
5,25000.0,31700.0,0.838044882903142,306.0220000031293
5,25000.0,31800.0,0.8370717789206183,306.50430447891637
5,25000.0,31900.0,0.8360999852412724,306.98585120864004
5,25000.0,32000.0,0.8351294998579698,307.4666437525903
5,25000.0,32100.0,0.8341603207670182,307.94668564326406
5,25000.0,32200.0,0.8331924459681727,308.4259803856677
5,25000.0,32300.0,0.8322258734646144,308.9045314576161
5,25000.0,32400.0,0.8312606012629548,309.3823423100264
5,25000.0,32500.0,0.8302966273732246,309.85941636720884
5,25000.0,32600.0,0.8293339498088699,310.3357570271533
5,25000.0,32700.0,0.8283725665867389,310.8113676618108
5,25000.0,32800.0,0.8274124757270883,311.2862516173728
5,25000.0,32900.0,0.8264536752535617,311.7604122145455
5,25000.0,33000.0,0.8254961631931949,312.2338527488209
5,25000.0,33100.0,0.8245399375764032,312.70657649074377
5,25000.0,33200.0,0.8235849964369789,313.17858668617555
5,25000.0,33300.0,0.8226313378120782,313.6498865565543
5,25000.0,33400.0,0.8216789597422266,314.1204792991511
5,25000.0,33500.0,0.8207278602712985,314.59036808732304
5,25000.0,33600.0,0.8197780374465214,315.0595560707633
5,25000.0,33700.0,0.8188294893184653,315.52804637574684
5,25000.0,33800.0,0.8178822139410376,315.995842105374
5,25000.0,33900.0,0.8169362093714719,316.46294633980995
5,25000.0,34000.0,0.8159914736703334,316.92936213652155
5,25000.0,34100.0,0.8150480049014976,317.3950925305107
5,25000.0,34200.0,0.8141058011321557,317.8601405345446
5,25000.0,34300.0,0.8131648604328033,318.3245091393835
5,25000.0,34400.0,0.8122251808772355,318.7882013140048
5,25000.0,34500.0,0.811286760542536,319.2512200058247
5,25000.0,34600.0,0.810349597509083,319.7135681409165
5,25000.0,34700.0,0.8094136898605266,320.1752486242268
5,25000.0,34800.0,0.8084790356837959,320.6362643397881
5,25000.0,34900.0,0.8075456330690862,321.09661815092903
5,25000.0,35000.0,0.806613480109856,321.5563129004817
