success,error,Altitude_km,Mach,Thrust_N,Thrust_kN,Isp_s,Ia_Ns_per_kg,mdot_air_kg_s,mfuel_kg_s,phi,Ma_exit,T_exit_K,p_exit_Pa
True,,20.0,2.5,79569.63263497126,79.56963263497126,7691.16250392226,795.6963263497126,100.0,1.4556040756914967,0.5,2.702789501288881,630.8117415113915,2795.6700770169014
True,,20.0,2.75,93655.42747190956,93.65542747190956,9052.688672891743,936.5542747190956,100.0,1.4556040756914967,0.5,2.80071228539798,773.3381300410788,3291.772779365709
True,,20.0,3.0,121290.8196767023,121.2908196767023,11723.912420797693,1212.9081967670231,100.0,1.4556040756914967,0.5,2.7918901334859476,1153.8051742356577,4384.197593941021
True,,20.0,3.25,133444.98918552272,133.44498918552273,12898.728612565179,1334.4498918552272,100.0,1.4556040756914967,0.5,2.9472300801509754,1266.445628578955,4712.927219976293
True,,20.0,3.5,132781.31916590943,132.78131916590942,12834.578586973836,1327.8131916590944,100.0,1.4556040756914967,0.5,3.183222293585107,1164.7700035022574,4516.34657099341
True,,20.0,3.75,131599.13479545616,131.59913479545617,12720.309213072556,1315.9913479545617,100.0,1.4556040756914967,0.5,3.4052046813319232,1081.1880169157967,4367.116601253663
True,,20.0,4.0,129932.77053256951,129.93277053256952,12559.239243133334,1299.3277053256952,100.0,1.4556040756914967,0.5,3.617178874458087,1009.6477839486861,4246.362810998836
True,,20.0,4.25,127865.90152155056,127.86590152155057,12359.456676447444,1278.6590152155056,100.0,1.4556040756914967,0.5,3.820074556968068,948.1223485546968,4148.066816328749
True,,20.0,4.5,125503.29528738375,125.50329528738375,12131.088291700491,1255.0329528738375,100.0,1.4556040756914967,0.5,4.011725047006356,895.9841907050651,4073.8512229759804
True,,20.0,4.75,122745.56601494308,122.74556601494308,11864.527503699033,1227.4556601494307,100.0,1.4556040756914967,0.5,4.196787127043423,849.2627166361646,4009.843100310213
True,,20.0,5.0,119752.72687399981,119.7527268739998,11575.241108640612,1197.5272687399981,100.0,1.4556040756914967,0.5,4.371582038155434,809.3428676908088,3963.2805264230196
True,,22.0,2.0,63614.38593418672,63.61438593418672,6148.936014969366,636.1438593418673,100.0,1.4556040756914967,0.5,2.414179587109723,505.19162422076,1618.4508982178918
False,"The iteration is not making good progress, as measured by the 
 improvement from the last ten iterations.",22.0,2.25,,,,,100.0,,0.5,,,
True,,22.0,2.5,80527.65522333233,80.52765522333233,7783.764507544869,805.2765522333233,100.0,1.4556040756914967,0.5,2.6994256152220046,643.6046340843711,2056.493812952376
True,,22.0,2.75,95217.85175195901,95.217851751959,9203.711853972167,952.1785175195901,100.0,1.4556040756914967,0.5,2.79303100680662,796.1558904150686,2435.35077893718
True,,22.0,3.0,126349.7547586555,126.34975475865551,12212.906657965937,1263.497547586555,100.0,1.4556040756914967,0.5,2.756915269361256,1250.4741849718027,3356.7885623006464
True,,22.0,3.25,132714.47935373342,132.71447935373342,12828.11788280626,1327.1447935373342,100.0,1.4556040756914967,0.5,2.9627538090047585,1249.8518604135188,3388.933342018155
True,,22.0,3.5,132002.19982771372,132.00219982771372,12759.269285654053,1320.021998277137,100.0,1.4556040756914967,0.5,3.1993722619494687,1149.4282270271212,3248.1898138351476
True,,22.0,3.75,130756.19406297184,130.75619406297184,12638.83096640961,1307.5619406297185,100.0,1.4556040756914967,0.5,3.4229005199064826,1066.1574969467968,3139.47108513838
True,,22.0,4.0,129033.12052010655,129.03312052010654,12472.279504683225,1290.3312052010654,100.0,1.4556040756914967,0.5,3.636749355037574,994.8998717914305,3050.993369002187
True,,22.0,4.25,126895.10089695625,126.89510089695625,12265.619553974888,1268.9510089695625,100.0,1.4556040756914967,0.5,3.8420454057681312,933.2119958067169,2977.842116155635
True,,22.0,4.5,124441.83409364411,124.4418340936441,12028.487962123616,1244.4183409364412,100.0,1.4556040756914967,0.5,4.036486942710009,880.6361092990232,2921.430424857275
True,,22.0,4.75,121603.41204455981,121.6034120445598,11754.12744905737,1216.034120445598,100.0,1.4556040756914967,0.5,4.2244904302677355,833.6809304257006,2872.602248135059
True,,22.0,5.0,118700.97937787135,118.70097937787135,11473.579700413096,1187.0097937787134,100.0,1.4556040756914967,0.5,4.401864301984462,794.4635327010473,2838.628434860354
